"year","township","property_type","sample_size","total_units","avg_tax_per_unit","avg_value_per_unit"
2021,"Hyde Park","Condo",6406,6406,2888.56982984702,133470.330939743
2021,"Hyde Park","Large Multi-Family (7+ units)",188,1510,2667.38987219267,83067.4436423506
2021,"Hyde Park","Single Family",12973,12973,6640.26417482463,275924.842364915
2021,"Hyde Park","Small Multi-Family (2-6 units)",1788,4027,3953.3686782252,125701.365585384
2021,"Jefferson","Condo",24717,24717,3427.32090666343,191483.907027559
2021,"Jefferson","Large Multi-Family (7+ units)",1570,16369,2015.5577323577,99035.0347411789
2021,"Jefferson","Single Family",49338,49338,5814.68209230207,340496.913737886
2021,"Jefferson","Small Multi-Family (2-6 units)",31261,84133,2832.71330568973,160083.615314076
2021,"Lake","Condo",83716,83716,5137.67288105031,273211.478570355
2021,"Lake","Large Multi-Family (7+ units)",1286,21779,2295.5790826267,113820.614261646
2021,"Lake","Single Family",4322,4322,13267.8304835724,722254.264229516
2021,"Lake","Small Multi-Family (2-6 units)",11628,44294,4209.33803799736,224631.26196824
2021,"Lake View","Condo",3198,3198,1386.82786116323,82239.1275797372
2021,"Lake View","Large Multi-Family (7+ units)",515,3883,1654.52578220835,74478.6590383726
2021,"Lake View","Single Family",42323,42323,3271.88617016752,187746.462916147
2021,"Lake View","Small Multi-Family (2-6 units)",10042,20216,1940.86417089889,108204.171313816
2021,"North Chicago","Condo",10437,10437,3780.05157803967,156120.66206764
2021,"North Chicago","Large Multi-Family (7+ units)",1294,12447,2414.00707023871,88519.3297054783
2021,"North Chicago","Single Family",29614,29614,6215.23197440399,221378.706355109
2021,"North Chicago","Small Multi-Family (2-6 units)",32202,68353,2272.28503679895,105574.74512453
2021,"Rogers Park","Condo",15399,15399,2583.20654977595,146229.668809668
2021,"Rogers Park","Large Multi-Family (7+ units)",1891,18619,1780.25693449758,88173.994369738
2021,"Rogers Park","Single Family",22254,22254,1686.41351172823,118166.900781885
2021,"Rogers Park","Small Multi-Family (2-6 units)",20426,41673,1242.35199904533,72933.4660889714
2021,"South Chicago","Condo",136152,136152,5731.95897438175,297529.034020727
2021,"South Chicago","Large Multi-Family (7+ units)",406,4232,1746.1907329541,86693.5609703652
2021,"South Chicago","Single Family",3328,3328,6741.363984375,400304.71754808
2021,"South Chicago","Small Multi-Family (2-6 units)",12422,38034,3236.48084037729,182373.724775932
2021,"West Chicago","Condo",5585,5585,3027.47374753805,117271.430617726
2021,"West Chicago","Large Multi-Family (7+ units)",368,2992,2816.07144512379,74240.1291300034
2021,"West Chicago","Single Family",28809,28809,6504.48198618487,222631.276684379
2021,"West Chicago","Small Multi-Family (2-6 units)",4088,8558,4057.9820660062,120537.239889106
2022,"Hyde Park","Condo",6418,6418,3057.74731536304,134114.0105952
2022,"Hyde Park","Large Multi-Family (7+ units)",188,1505,2790.0726252744,83152.6359338061
2022,"Hyde Park","Single Family",13001,13001,6984.22455888008,274805.367279441
2022,"Hyde Park","Small Multi-Family (2-6 units)",1781,3993,4169.25858412877,125496.41493543
2022,"Jefferson","Condo",24885,24885,3581.5984348001,194133.230058263
2022,"Jefferson","Large Multi-Family (7+ units)",1581,16420,2048.25531695832,98760.5755348735
2022,"Jefferson","Single Family",49308,49308,6010.84971667884,338457.767705022
2022,"Jefferson","Small Multi-Family (2-6 units)",31244,83514,2947.29088211603,159445.230124183
2022,"Lake","Condo",83900,83900,5306.82231203818,274786.558760353
2022,"Lake","Large Multi-Family (7+ units)",1292,21858,2347.85684136813,113823.706447491
2022,"Lake","Single Family",4305,4305,13506.4566666667,710564.889663176
2022,"Lake","Small Multi-Family (2-6 units)",11499,43667,4285.39630083775,220407.484781285
2022,"Lake View","Condo",3193,3193,1444.3560883182,82384.2530535547
2022,"Lake View","Large Multi-Family (7+ units)",516,3853,1678.03946624677,73472.0777962348
2022,"Lake View","Single Family",42379,42379,3427.27311569409,187406.168857217
2022,"Lake View","Small Multi-Family (2-6 units)",10040,20198,2013.77697161355,107874.269588313
2022,"North Chicago","Condo",10464,10464,3923.91791475535,157776.334097857
2022,"North Chicago","Large Multi-Family (7+ units)",1297,12342,2471.21357702757,88589.8617995129
2022,"North Chicago","Single Family",29610,29610,6430.08023640662,220047.376224249
2022,"North Chicago","Small Multi-Family (2-6 units)",32155,68126,2361.82034380345,104868.018711451
2022,"Rogers Park","Condo",15370,15370,2659.97845803514,146794.6076773
2022,"Rogers Park","Large Multi-Family (7+ units)",1892,18461,1814.58681305371,87865.4344105507
2022,"Rogers Park","Single Family",22205,22205,1772.44084935825,118010.231479395
2022,"Rogers Park","Small Multi-Family (2-6 units)",20313,41408,1286.75957596942,72707.4708314896
2022,"South Chicago","Condo",137033,137033,5916.69192128904,299338.109725343
2022,"South Chicago","Large Multi-Family (7+ units)",404,4138,1774.58892680339,86138.5081722458
2022,"South Chicago","Single Family",3339,3339,7027.77420784666,397053.680742735
2022,"South Chicago","Small Multi-Family (2-6 units)",12402,37630,3348.37991016234,180153.828683546
2022,"West Chicago","Condo",5582,5582,3169.76685417413,117124.552131852
2022,"West Chicago","Large Multi-Family (7+ units)",363,2964,2832.89630159823,73682.2624513534
2022,"West Chicago","Single Family",28855,28855,6752.479116271,221527.663143312
2022,"West Chicago","Small Multi-Family (2-6 units)",4081,8531,4180.36849015764,120283.367230254
